Tuần,Thu nhập,Tiền xăng,Trích quỹ nợ,Rút quỹ dự phòng,Tiền ăn,Thanh toán,Quỹ dự phòng,Quỹ nợ
Số dư ban đầu,,,,,,,471001,0
Tuần 1,500000,50000,264004,100000,285996,0,371001,264004
,,,,,,,,
Tuần 2,700000,50000,264004,0,385996,0,371001,528008
,,,,,,,,
Tuần 3,500000,50000,264004,100000,285996,0,271001,792012
,,,,,,,,
Tuần 4,700000,50000,264004,0,385996,944622,271001,111394
,,,,,,,,
Tuần 5,500000,50000,264004,100000,285996,0,171001,375398
,,,,,,,,
Tuần 6,700000,50000,264004,0,385996,0,171001,639402
,,,,,,,,
Tuần 7,500000,50000,264004,100000,285996,0,71001,903406
,,,,,,,,
Tuần 8,600000,50000,264004,0,285996,1110238,71001,57172
,,,,,,,,
Tuần 9,500000,50000,264004,71001,256997,0,0,321176
,,,,,,,,
Tuần 10,700000,50000,264004,0,385996,0,0,585180
,,,,,,,,
Tuần 11,600000,50000,264004,0,285996,0,0,849184
,,,,,,,,
Tuần 12,700000,50000,264004,0,385996,1113187,0,1
